role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
train,200031,reject,arena,4.526,5.156,14.597,8.068,1.172,5.304,1.235,0.0,0.042
train,200032,reject,frame_crossing+arena+ref_contact,5.094,6.631,14.723,8.504,1.507,7.676,2.517,1.0,0.0
train,200033,reject,frame_crossing+arena+ref_contact,4.979,5.58,14.7,6.112,1.268,6.314,1.323,1.0,0.0
train,200034,reject,frame_crossing+ref_contact,4.456,4.929,14.75,7.847,1.12,4.992,1.481,2.0,0.0
train,200035,reject,arena,3.988,5.028,14.651,8.795,1.143,4.557,1.035,0.0,0.036
train,200036,reject,frame_crossing+ref_contact,4.543,4.935,14.611,5.948,1.122,5.096,1.626,2.0,0.0
train,200037,reject,frame_crossing+arena+ref_contact,5.071,5.432,14.739,8.412,1.234,6.261,1.032,2.0,0.0
train,200038,reject,frame_crossing+arena+ref_contact,4.748,5.502,14.637,8.135,1.251,5.937,1.699,2.0,0.0
train,200039,reject,frame_crossing+arena+ref_contact,4.626,5.548,14.758,9.041,1.261,5.833,1.837,1.0,0.0
train,200040,reject,frame_crossing+arena+ref_contact,5.242,5.988,14.512,7.463,1.361,7.134,1.405,4.0,0.0
train,200041,reject,frame_crossing+ref_contact,4.568,5.714,14.568,7.02,1.299,5.932,1.333,1.0,0.0
train,200042,reject,arena,4.689,5.914,14.657,8.494,1.344,6.302,1.761,0.0,0.031
train,200043,reject,arena+frame_margin,4.361,5.947,14.607,6.538,1.352,5.894,1.249,0.0,0.02
train,200044,reject,frame_crossing+arena+ref_contact,4.441,5.918,14.749,8.549,1.345,5.974,1.5,2.0,0.0
train,200045,reject,frame_crossing+arena+ref_contact,4.512,6.428,14.597,5.915,1.461,6.591,1.403,1.0,0.0
train,200046,reject,arena+frame_margin,4.288,4.262,14.602,7.53,1.0,4.288,1.026,0.0,0.025
train,200047,reject,frame_crossing+arena+frame_margin,4.417,5.802,14.639,6.289,1.319,5.824,1.176,1.0,0.005
train,200048,reject,arena,4.821,5.87,14.707,8.042,1.334,6.432,1.249,0.0,0.042
train,200049,reject,frame_crossing+arena+ref_contact,4.266,3.954,14.708,5.47,1.0,4.266,1.109,1.0,0.0
train,200050,reject,frame_crossing+arena+ref_contact,4.775,6.156,14.748,7.482,1.399,6.68,1.109,2.0,0.0
train,200051,reject,frame_crossing+arena+ref_contact,4.454,4.791,14.825,7.577,1.089,4.851,1.031,1.0,0.0
