role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
study,1238,reject,arena,3.871,5.699,14.665,6.99,1.295,5.014,1.058,0.0,0.051
study,1239,reject,arena+frame_margin,4.354,5.833,14.675,7.51,1.326,5.773,1.235,0.0,0.024
study,1240,reject,frame_crossing+arena+ref_contact,4.419,5.314,14.707,7.06,1.208,5.337,1.44,1.0,0.0
study,1241,reject,frame_crossing+arena+ref_contact,4.922,4.262,14.655,8.916,1.0,4.922,1.032,1.0,0.0
study,1242,reject,arena,4.051,4.718,14.708,5.625,1.072,4.344,1.148,0.0,0.038
study,1243,reject,frame_crossing+arena+ref_contact,4.56,5.384,14.584,6.94,1.224,5.58,1.398,1.0,0.0
study,1244,reject,arena+ref_contact,4.317,5.208,14.621,6.914,1.184,5.109,1.697,0.0,0.0
study,1245,reject,arena+frame_margin,4.421,5.027,14.742,8.131,1.143,5.052,2.051,0.0,0.006
study,1246,reject,arena,4.128,6.281,14.651,5.971,1.427,5.893,1.053,0.0,0.056
study,1247,reject,frame_crossing+arena+ref_contact,4.778,4.227,14.596,7.46,1.0,4.778,1.249,2.0,0.0
study,1248,reject,frame_crossing+arena+ref_contact,4.971,4.811,14.716,7.471,1.093,5.435,1.488,1.0,0.0
study,1249,reject,frame_crossing+arena+ref_contact,4.384,4.455,14.638,7.841,1.013,4.439,1.015,1.0,0.0
study,1250,pass,,3.89,4.189,14.735,6.262,1.0,3.89,1.204,0.0,0.053
study,1251,reject,frame_crossing+arena+ref_contact,4.882,6.137,14.673,6.499,1.395,6.809,1.723,2.0,0.0
study,1252,reject,frame_crossing+arena+ref_contact,4.809,5.482,14.778,8.347,1.246,5.992,1.271,1.0,0.0
study,1253,reject,frame_crossing+arena+ref_contact,4.82,5.4,14.631,8.988,1.227,5.915,1.695,2.0,0.0
study,1254,reject,frame_crossing+arena+ref_contact,4.317,5.468,14.642,8.33,1.243,5.365,1.617,1.0,0.0
